,std_MP_median_h0,std_MP_median_h1,std_MP_median_h2,std_MP_median_h3,std_MP_median_h4,std_MP_median_h5,std_MP_median_h6,std_MP_median_h7,std_MP_median_h8,std_MP_median_h9,std_MP_median_h10,std_MP_median_h11,std_MP_median_h12,std_MP_median_upstreamness_h0,std_MP_median_upstreamness_h1,std_MP_median_upstreamness_h2,std_MP_median_upstreamness_h3,std_MP_median_upstreamness_h4,std_MP_median_upstreamness_h5,std_MP_median_upstreamness_h6,std_MP_median_upstreamness_h7,std_MP_median_upstreamness_h8,std_MP_median_upstreamness_h9,std_MP_median_upstreamness_h10,std_MP_median_upstreamness_h11,std_MP_median_upstreamness_h12
std_MP_median_h0,0.00013501991220395157,0.00011606886279757424,0.00010096266308914826,9.038619696598188e-05,8.50243483153834e-05,8.556200102466113e-05,9.268403898112334e-05,0.00010602379997959603,0.00012100843744497626,0.00013201355870967873,0.00013341477110611816,0.00011958768196670933,8.4907898623867e-05,-1.3452736617713723e-05,-1.4732376274454408e-05,-1.5460738574439367e-05,-1.5738954454785068e-05,-1.5668154852607967e-05,-1.534947070502454e-05,-1.4884032949151249e-05,-1.4343936921480936e-05,-1.3685135556011932e-05,-1.2834546186118939e-05,-1.1719086145176662e-05,-1.0265672766559805e-05,-8.401223383643077e-06
std_MP_median_h1,0.0001160688627975717,0.00011275862033675693,0.00010584266571338042,9.793318915209081e-05,9.164238087753668e-05,8.958243111436672e-05,9.436553008722953e-05,0.00010709787596224558,0.00012286169867142263,0.00013523323608824039,0.00013778872608617834,0.00012410440653871617,8.77565153193336e-05,-1.1923606986429697e-05,-1.5022055976509617e-05,-1.660442018939759e-05,-1.7052758700167452e-05,-1.674913058389302e-05,-1.607559491564814e-05,-1.5414210770506647e-05,-1.5027836139062746e-05,-1.4702524673992137e-05,-1.4105128943490894e-05,-1.2902501515755099e-05,-1.0761494958980822e-05,-7.348961841364147e-06
std_MP_median_h2,0.00010096266308914678,0.00010584266571337851,0.00010483209795538401,0.00010079268975609952,9.658617105646135e-05,9.507427179740578e-05,9.91187219198691e-05,0.00011018493778850949,0.00012415308146287296,0.00013550700142622734,0.00013873054616184055,0.00012830756415298036,9.872190388291481e-05,-1.0644990860999165e-05,-1.4613953768525621e-05,-1.671763547273024e-05,-1.7426280650167167e-05,-1.7210133977390562e-05,-1.653944013095459e-05,-1.5884443787413396e-05,-1.557317116441611e-05,-1.5364774643991755e-05,-1.4876188149264318e-05,-1.3724345603357785e-05,-1.152618092939615e-05,-7.898628050503404e-06
std_MP_median_h3,9.03861969659837e-05,9.793318915208763e-05,0.00010079268975609642,0.00010100383633589726,0.0001006057664493775,0.00010163761765442445,0.0001061385275089254,0.00011519585447528584,0.0001260898406339841,0.0001351489489700168,0.00013870164246838042,0.00013307638411407143,0.00011460163689208652,-9.724903736036997e-06,-1.3882437778074185e-05,-1.6254138265697645e-05,-1.726582875213499e-05,-1.7343332790613866e-05,-1.6912473934361902e-05,-1.639907573660673e-05,-1.6109065123504995e-05,-1.5868782512929418e-05,-1.5384671695681725e-05,-1.4363176462563647e-05,-1.251074060437691e-05,-9.533807911923251e-06
std_MP_median_h4,8.502434831538926e-05,9.164238087753295e-05,9.658617105645507e-05,0.00010060576644937326,0.00010445121465350529,0.00010887256326606892,0.00011461985988428186,0.00012204149503947266,0.00012987923099941318,0.000136473172965986,0.00014016342614107377,0.00013929009572655906,0.00013219328692432462,-9.271361106158056e-06,-1.320187613272708e-05,-1.5667682409560142e-05,-1.6977711453421695e-05,-1.7440894781076194e-05,-1.736616390928811e-05,-1.7062450354821896e-05,-1.6764641142293367e-05,-1.6411445327723752e-05,-1.5867527474985635e-05,-1.49975521479516e-05,-1.3666183910494224e-05,-1.1738087326486101e-05
std_MP_median_h5,8.55620010246704e-05,8.95824311143632e-05,9.507427179739745e-05,0.00010163761765441679,0.00010887256326606488,0.00011637920321298537,0.00012375763207582191,0.00013063272849796808,0.00013672850737381714,0.0001417937676605122,0.00014557730831519646,0.00014782792829501297,0.000148294426557105,-9.39237846597722e-06,-1.2946636960056085e-05,-1.5412021745578083e-05,-1.696823720137805e-05,-1.7794987706290823e-05,-1.8071977639151238e-05,-1.797891137879414e-05,-1.7669022346745185e-05,-1.7189660135293384e-05,-1.6561703379418572e-05,-1.5806030714100572e-05,-1.4943520774319224e-05,-1.3995052195054362e-05
std_MP_median_h6,9.268403898113399e-05,9.4365530087227e-05,9.9118721919861e-05,0.00010613852750891711,0.00011461985988427641,0.00012375763207582,0.00013274675711342902,0.00014088042386767018,0.00014784492457185303,0.00015342482729997265,0.00015740470012602423,0.00015956911112400282,0.00015970262836790365,-1.0195971310109354e-05,-1.3491088387632964e-05,-1.5940910115011806e-05,-1.764371444335484e-05,-1.869777932377102e-05,-1.920138270736932e-05,-1.92528025452587e-05,-1.8951331862824424e-05,-1.8400323982556952e-05,-1.7704147301223053e-05,-1.6967170215589493e-05,-1.6293761122423034e-05,-1.5788288418490448e-05
std_MP_median_h7,0.00010602379997960517,0.00010709787596224476,0.00011018493778850461,0.00011519585447528091,0.00012204149503946997,0.00013063272849796805,0.00014088042386767145,0.00015238269454018543,0.00016348663140595144,0.00017222656973011984,0.0001766368447778411,0.00017475179181426558,0.00016460574610454372,-1.1669559130085679e-05,-1.5015874997272972e-05,-1.749966837763993e-05,-1.9226169322174248e-05,-2.030060788186363e-05,-2.0828214107695777e-05,-2.09142180506584e-05,-2.0657955369500794e-05,-2.0135184154018677e-05,-1.941576810176936e-05,-1.8569570910310154e-05,-1.766645627719837e-05,-1.6776287899991333e-05
std_MP_median_h8,0.00012100843744498203,0.00012286169867142384,0.0001241530814628728,0.00012608984063398478,0.00012987923099941557,0.00013672850737382115,0.00014784492457185736,0.0001634866314059541,0.00018011535267963745,0.00019324370719420742,0.00019838431375096416,0.0001910497911512076,0.00016675275819623794,-1.3318177405102814e-05,-1.692674718776526e-05,-1.9499885467314174e-05,-2.1200498762544144e-05,-2.2191493592249763e-05,-2.2635776475225638e-05,-2.269625393026635e-05,-2.2504328757767066e-05,-2.2065388884525225e-05,-2.135331851893882e-05,-2.034200186940586e-05,-1.900532314432434e-05,-1.7317166552092275e-05
std_MP_median_h9,0.00013201355870968095,0.0001352332360882433,0.00013550700142623168,0.00013514894897002274,0.00013647317296599325,0.00014179376766051998,0.00015342482729997978,0.00017222656973012483,0.0001932437071942097,0.0002100670755348643,0.00021628751059471862,0.0002054958482164026,0.0001712829242425463,-1.4526265611273725e-05,-1.8435731812142463e-05,-2.1144717336404547e-05,-2.2867317384643825e-05,-2.3817627157444127e-05,-2.420974185538932e-05,-2.4257756679063234e-05,-2.4123150471621748e-05,-2.3756936646508842e-05,-2.3057512259740522e-05,-2.1923274367332788e-05,-2.0252620025301645e-05,-1.794394628966311e-05
