,std_MP_median_h0,std_MP_median_h1,std_MP_median_h2,std_MP_median_h3,std_MP_median_h4,std_MP_median_h5,std_MP_median_h6,std_MP_median_h7,std_MP_median_h8,std_MP_median_h9,std_MP_median_h10,std_MP_median_h11,std_MP_median_h12,std_MP_median_upstreamness_h0,std_MP_median_upstreamness_h1,std_MP_median_upstreamness_h2,std_MP_median_upstreamness_h3,std_MP_median_upstreamness_h4,std_MP_median_upstreamness_h5,std_MP_median_upstreamness_h6,std_MP_median_upstreamness_h7,std_MP_median_upstreamness_h8,std_MP_median_upstreamness_h9,std_MP_median_upstreamness_h10,std_MP_median_upstreamness_h11,std_MP_median_upstreamness_h12
std_MP_median_h0,1.4359010333861195e-06,1.770011711985457e-06,2.131909484194969e-06,2.470245737814807e-06,2.7336718606451204e-06,2.8708392404860603e-06,2.8303992651377778e-06,2.586247038231938e-06,2.213252526726266e-06,1.8115294134100012e-06,1.4811913810723837e-06,1.322352112502653e-06,1.4351252904900497e-06,-4.045628674546793e-07,-4.533976046057564e-07,-5.218599097312002e-07,-6.004930700745673e-07,-6.798403728794152e-07,-7.504451053893007e-07,-8.028505548477813e-07,-8.258201626773866e-07,-8.00997987016539e-07,-7.08248240182633e-07,-5.274351344930633e-07,-2.38422882265225e-07,1.7892430418348728e-07
std_MP_median_h1,1.770011711984793e-06,4.738046572547746e-06,6.3471717684909785e-06,6.842141987474037e-06,6.467711917156468e-06,5.46863624519782e-06,4.08966965925764e-06,2.556828032326533e-06,1.0211719787193341e-06,-3.8497670191806925e-07,-1.5292962099397854e-06,-2.2794647456999248e-06,-2.5031605095525986e-06,-4.771160845419893e-07,-1.257702369100829e-06,-1.6938483116704293e-06,-1.849298229538129e-06,-1.7877964399912663e-06,-1.5730872603171804e-06,-1.2689150078032097e-06,-9.316310494254939e-07,-5.880149509153767e-07,-2.574533276930016e-07,4.066720482148749e-08,2.8696003120794593e-07,4.620385360462302e-07
std_MP_median_h2,2.131909484193889e-06,6.347171768491085e-06,8.832924689921045e-06,9.876958983941238e-06,9.767065386009146e-06,8.791034631582247e-06,7.236657456118014e-06,5.368692471123587e-06,3.3597697923047435e-06,1.35948741141692e-06,-4.825566797844441e-07,-2.0167644895439113e-06,-3.093538026106044e-06,-5.420169556447582e-07,-1.7412563259617585e-06,-2.4642470391873676e-06,-2.7930942272496853e-06,-2.8099030220768108e-06,-2.5967785555968437e-06,-2.2358259597378823e-06,-1.7992409868710344e-06,-1.3195818711394384e-06,-8.194974671292393e-07,-3.2163662942658227e-07,1.51351787382386e-07,5.768189287115208e-07
std_MP_median_h3,2.4702457378134988e-06,6.842141987474692e-06,9.87695898394211e-06,1.1724756125233677e-05,1.2535592809367322e-05,1.2459528434360979e-05,1.1646622398232575e-05,1.0244390523725685e-05,8.390174332486472e-06,6.218771770886741e-06,3.864980785298301e-06,1.4635993220929582e-06,-8.505746723574794e-07,-5.894592516795427e-07,-1.9590769662663695e-06,-2.892414883093263e-06,-3.452133193131543e-06,-3.70089208735253e-06,-3.701351756727544e-06,-3.5161723922279053e-06,-3.1963308860257682e-06,-2.7460709350966172e-06,-2.1579529376167698e-06,-1.4245372917625422e-06,-5.383843957102537e-07,5.07945352363779e-07
std_MP_median_h4,2.73367186064371e-06,6.467711917157783e-06,9.76706538601112e-06,1.2535592809368611e-05,1.4677154729395158e-05,1.6095611688255655e-05,1.6694824228114996e-05,1.640647235923541e-05,1.5273513964268495e-05,1.3366726393963162e-05,1.075688699906834e-05,7.5147731303329426e-06,3.7111621385059017e-06,-6.096367435628989e-07,-1.9661817810924877e-06,-3.037710634199363e-06,-3.846667257106007e-06,-4.415495604034903e-06,-4.766639629208535e-06,-4.922543286849386e-06,-4.890581657901456e-06,-4.617854330194807e-06,-4.036392018281016e-06,-3.0782254367116614e-06,-1.675385300038322e-06,2.4009767718742486e-07
std_MP_median_h5,2.8708392404846135e-06,5.4686362451995784e-06,8.791034631585024e-06,1.2459528434363315e-05,1.609561168825682e-05,1.9320778427987906e-05,2.1756522688278947e-05,2.3077488146755354e-05,2.3170917052654792e-05,2.1977201298117955e-05,1.943673277528556e-05,1.5489903376298304e-05,1.0077104993296902e-05,-5.927432022113835e-07,-1.8175882615179389e-06,-2.9594930833169163e-06,-3.996948549095384e-06,-4.908445540340412e-06,-5.672474938539072e-06,-6.267527625178432e-06,-6.649674213509858e-06,-6.6853042438418995e-06,-6.2183869882474025e-06,-5.092891718799209e-06,-3.152787707570167e-06,-2.4204422663312107e-07
std_MP_median_h6,2.8303992651362984e-06,4.089669659259295e-06,7.236657456120767e-06,1.1646622398235047e-05,1.6694824228116473e-05,2.175652268827938e-05,2.6206977521238108e-05,2.9479988055388104e-05,3.124351196264934e-05,3.12240465008229e-05,2.914808892770986e-05,2.4742136501111305e-05,1.7732686478828334e-05,-5.289723985415531e-07,-1.568313898620548e-06,-2.71712102125717e-06,-3.92322919902198e-06,-5.134473864485539e-06,-6.2986904502184085e-06,-7.36371438879115e-06,-8.241289463862737e-06,-8.698792863445791e-06,-8.467510126641353e-06,-7.278726792550456e-06,-4.863728400274139e-06,-9.538004889134392e-07
std_MP_median_h7,2.58624703823038e-06,2.5568280323273463e-06,5.368692471125169e-06,1.0244390523726972e-05,1.6406472359235878e-05,2.3077488146755e-05,2.947998805538748e-05,3.487069566307173e-05,3.8643028183087336e-05,4.0224576237549206e-05,3.904293044857222e-05,3.4525681438271274e-05,2.6100419828761275e-05,-4.1573608057128985e-07,-1.265816627087617e-06,-2.360824465122355e-06,-3.643644465525364e-06,-5.057161499146504e-06,-6.5442604368356355e-06,-8.047826149442621e-06,-9.453651248371692e-06,-1.0419159307244586e-05,-1.0544681640237411e-05,-9.430549561526272e-06,-6.67709438528728e-06,-1.8846474256965473e-06
std_MP_median_h8,2.213252526724582e-06,1.0211719787189305e-06,3.359769792304551e-06,8.390174332485828e-06,1.5273513964267143e-05,2.3170917052652888e-05,3.124351196264744e-05,3.8643028183086225e-05,4.448359969812883e-05,4.786996161576587e-05,4.790684904398798e-05,4.3698997090785765e-05,3.4351140864149884e-05,-2.7931790472377865e-07,-9.273161560443557e-07,-1.904318337178628e-06,-3.1678621221141536e-06,-4.675485184838489e-06,-6.384725199339192e-06,-8.25311983960382e-06,-1.0157155120047703e-05,-1.1649110416797233e-05,-1.2200213446406585e-05,-1.1281691925429919e-05,-8.364773570421405e-06,-2.9206860979352155e-06
std_MP_median_h9,1.8115294134081507e-06,-3.849767019195635e-07,1.3594874114151012e-06,6.218771770884252e-06,1.3366726393959994e-05,2.197720129811443e-05,3.122404650081968e-05,4.022457623754709e-05,4.78699616157651e-05,5.299483796094137e-05,5.4433840598543604e-05,5.102160485403946e-05,4.1592766052896645e-05,-1.5321950452353012e-07,-5.624726382254506e-07,-1.3521887859831287e-06,-2.5034330710142283e-06,-3.997270616536415e-06,-5.814766545767352e-06,-7.936985981924704e-06,-1.0242739560301586e-05,-1.2201819964492901e-05,-1.3181765390169012e-05,-1.2550114033000267e-05,-9.674404088657029e-06,-3.922173752809654e-06
std_MP_median_h10,1.4811913810703352e-06,-1.5292962099417435e-06,-4.825566797869875e-07,3.86498078529488e-06,1.0756886999064132e-05,1.943673277528104e-05,2.9148088927705893e-05,3.904293044856982e-05,4.790684904398742e-05,5.443384059854417e-05,5.731790099682553e-05,5.525302612341697e-05,4.6933211862903976e-05,-7.094251349505471e-08,-1.809462263655877e-07,-7.090219600929951e-07,-1.6579082144514692e-06,-3.0303434892152024e-06,-4.829066284158387e-06,-7.056815099055217e-06,-9.601343050544155e-06,-1.1890461722720748e-05,-1.3236997316544819e-05,-1.295377603297618e-05,-1.0353624072974657e-05,-4.749367637500071e-06
std_MP_median_h11,1.3223521125003834e-06,-2.2794647457012178e-06,-2.0167644895455224e-06,1.4635993220903476e-06,7.514773130329271e-06,1.5489903376294123e-05,2.4742136501107785e-05,3.4525681438269885e-05,4.369899709078705e-05,5.1021604854042704e-05,5.5253026123420194e-05,5.515278229430294e-05,4.948039476207435e-05,-6.598856516286305e-08,2.0760292680054636e-07,2.059599193463329e-08,-6.388384546517557e-07,-1.782529497849774e-06,-3.422306222550575e-06,-5.5699977136453134e-06,-8.123904072186233e-06,-1.052820946386994e-05,-1.211356907055414e-05,-1.2210638074096528e-05,-1.0150071656354804e-05,-5.262524999186676e-06
std_MP_median_h12,1.4351252904875442e-06,-2.5031605095515966e-06,-3.0935380261043136e-06,-8.505746723567072e-07,3.711162138505125e-06,1.007710499329508e-05,1.7732686478827063e-05,2.61004198287628e-05,3.4351140864155305e-05,4.1592766052905454e-05,4.693321186291407e-05,4.948039476208204e-05,4.834223121831021e-05,-1.7185929305146573e-07,5.935146685382654e-07,8.320789215426174e-07,5.462253061590314e-07,-2.6165433741505183e-07,-1.5891681689821907e-06,-3.4339243483449454e-06,-5.701361106638638e-06,-7.928236960329645e-06,-9.559140497217113e-06,-1.0038660305100178e-05,-8.811384971777984e-06,-5.321903085049678e-06
std_MP_median_upstreamness_h0,-4.045628674548166e-07,-4.771160845423013e-07,-5.420169556452583e-07,-5.894592516802243e-07,-6.096367435637358e-07,-5.927432022123298e-07,-5.289723985425429e-07,-4.1573608057224864e-07,-2.7931790472466957e-07,-1.5321950452436498e-07,-7.094251349589411e-08,-6.598856516381634e-08,-1.71859293052691e-07,3.1388529827941103e-07,2.76503524936882e-07,2.545853768126026e-07,2.4444144144078056e-07,2.423823063556235e-07,2.447185590913392e-07,2.477607871821355e-07,2.4776177951158385e-07,2.407431303607112e-07,2.2266863535990834e-07,1.8950209013956594e-07,1.3720729033007467e-07,6.17480315618254e-08
std_MP_median_upstreamness_h1,-4.53397604605561e-07,-1.2577023691005384e-06,-1.7412563259613303e-06,-1.9590769662657965e-06,-1.966181781091796e-06,-1.8175882615171901e-06,-1.5683138986198383e-06,-1.265816627087059e-06,-9.273161560440057e-07,-5.624726382252908e-07,-1.8094622636552596e-07,2.076029268006767e-07,5.935146685387053e-07,2.7650352493682436e-07,5.808874858239845e-07,7.451774471456056e-07,8.017510107648903e-07,7.829857785450412e-07,7.212593523492615e-07,6.489493340407538e-07,5.90663329951255e-07,5.399289642866402e-07,4.825038657213182e-07,4.041456629296979e-07,2.9061198458618855e-07,1.2766045936519912e-07
std_MP_median_upstreamness_h2,-5.218599097309076e-07,-1.6938483116699927e-06,-2.464247039186738e-06,-2.8924148830924307e-06,-3.037710634198358e-06,-2.9594930833158097e-06,-2.7171210212560717e-06,-2.360824465121396e-06,-1.9043183371778903e-06,-1.3521887859826235e-06,-7.090219600926656e-07,2.059599193491341e-08,8.320789215430431e-07,2.545853768125167e-07,7.451774471455738e-07,1.0451583669200475e-06,1.193476812559336e-06,1.2290814604868374e-06,1.1909209871259505e-06,1.1179440689000736e-06,1.0400539699386211e-06,9.509723051950724e-07,8.353752773289225e-07,6.779390889996664e-07,4.633399428667998e-07,1.7625404158981776e-07
std_MP_median_upstreamness_h3,-6.00493070074327e-07,-1.8492982295378476e-06,-2.7930942272493317e-06,-3.4521331931311e-06,-3.846667257105475e-06,-3.996948549094782e-06,-3.923229199021339e-06,-3.643644465524734e-06,-3.167862122113596e-06,-2.5034330710138166e-06,-1.6579082144512898e-06,-6.388384546519068e-07,5.462253061584394e-07,2.444414414406834e-07,8.017510107648499e-07,1.193476812559328e-06,1.4453025277729543e-06,1.5829118373545658e-06,1.6319884222529998e-06,1.6182159634170939e-06,1.5607088141042585e-06,1.4523040168062064e-06,1.2792692863232243e-06,1.0278723374555983e-06,6.843808850036153e-07,2.3506264376756198e-07
std_MP_median_upstreamness_h4,-6.798403728792905e-07,-1.7877964399912868e-06,-2.8099030220769607e-06,-3.700892087352777e-06,-4.415495604035201e-06,-4.9084455403407e-06,-5.1344738644857384e-06,-5.057161499146544e-06,-4.675485184838393e-06,-3.997270616536324e-06,-3.030343489215375e-06,-1.782529497850584e-06,-2.616543374169891e-07,2.423823063555202e-07,7.829857785450127e-07,1.2290814604868463e-06,1.582911837354582e-06,1.8467193943217805e-06,2.0227466165620032e-06,2.1132359892488116e-06,2.1174029770787427e-06,2.022354962840241e-06,1.8121723088447264e-06,1.4709353774036197e-06,9.827245308283417e-07,3.316201314303126e-07
std_MP_median_upstreamness_h5,-7.50445105389269e-07,-1.5730872603174944e-06,-2.596778555597477e-06,-3.701351756728436e-06,-4.76663962920959e-06,-5.6724749385401595e-06,-6.298690450219365e-06,-6.5442604368362996e-06,-6.3847251993395565e-06,-5.8147665457676e-06,-4.8290662841588985e-06,-3.422306222551918e-06,-1.5891681689851248e-06,2.4471855909122296e-07,7.212593523492626e-07,1.1909209871260028e-06,1.6319884222530561e-06,2.0227466165620354e-06,2.3414805288845544e-06,2.5664751180522264e-06,2.6749115734926504e-06,2.6395560070173746e-06,2.4320707610339327e-06,2.024118177949858e-06,1.387360600172686e-06,4.934603701099503e-07
std_MP_median_upstreamness_h6,-8.028505548477336e-07,-1.268915007803654e-06,-2.2358259597387306e-06,-3.516172392229049e-06,-4.922543286850695e-06,-6.267527625179756e-06,-7.3637143887923184e-06,-8.047826149443475e-06,-8.253119839604357e-06,-7.9369859819251e-06,-7.056815099055839e-06,-5.56999771364671e-06,-3.4339243483478524e-06,2.477607871819872e-07,6.489493340407997e-07,1.117944068900197e-06,1.6182159634172137e-06,2.1132359892488853e-06,2.5664751180522476e-06,2.9414043214843366e-06,3.198009717976559e-06,3.2823380130578067e-06,3.136951059031346e-06,2.7044107082004404e-06,1.9272788128683553e-06,7.48117225338356e-07
std_MP_median_upstreamness_h7,-8.258201626771623e-07,-9.316310494258012e-07,-1.7992409868716614e-06,-3.1963308860265407e-06,-4.890581657902237e-06,-6.6496742135105495e-06,-8.241289463863274e-06,-9.45365124837206e-06,-1.015715512004794e-05,-1.02427395603018e-05,-9.601343050544523e-06,-8.123904072186992e-06,-5.701361106640095e-06,2.477617795113794e-07,5.906633299513555e-07,1.0400539699388373e-06,1.5607088141044594e-06,2.1174029770788574e-06,2.674911573492666e-06,3.198009717976522e-06,3.639734458963784e-06,3.90617058009871e-06,3.891664798828285e-06,3.4905638325994894e-06,2.5972143988593092e-06,1.1059632150547267e-06
std_MP_median_upstreamness_h8,-8.009979870160592e-07,-5.880149509153773e-07,-1.3195818711395703e-06,-2.7460709350966456e-06,-4.6178543301946105e-06,-6.6853042438414735e-06,-8.698792863445244e-06,-1.0419159307244101e-05,-1.1649110416796926e-05,-1.220181996449277e-05,-1.1890461722720685e-05,-1.0528209463869725e-05,-7.928236960328942e-06,2.407431303604485e-07,5.399289642867871e-07,9.509723051953695e-07,1.4523040168064732e-06,2.0223549628403755e-06,2.639556007017355e-06,3.28233801305769e-06,3.90617058009861e-06,4.374678248945157e-06,4.528524295819328e-06,4.208371996943115e-06,3.2548846285385157e-06,1.5087254668275242e-06
std_MP_median_upstreamness_h9,-7.082482401819355e-07,-2.5745332769267545e-07,-8.194974671288459e-07,-2.157952937616046e-06,-4.036392018279875e-06,-6.218386988245931e-06,-8.467510126639815e-06,-1.0544681640236173e-05,-1.2200213446405816e-05,-1.3181765390168611e-05,-1.323699731654442e-05,-1.2113569070553105e-05,-9.55914049721453e-06,2.226686353596146e-07,4.825038657214832e-07,8.353752773292479e-07,1.2792692863235017e-06,1.8121723088448376e-06,2.432070761033849e-06,3.1369510590311295e-06,3.891664798828063e-06,4.5285242958191966e-06,4.846707045249873e-06,4.6453905423654255e-06,3.7237522824111974e-06,1.8809697606325279e-06
std_MP_median_upstreamness_h10,-5.274351344923027e-07,4.066720482201129e-08,-3.216366294258781e-07,-1.4245372917614267e-06,-3.078225436710089e-06,-5.092891718797322e-06,-7.27872679254858e-06,-9.430549561524832e-06,-1.1281691925429099e-05,-1.2550114032999916e-05,-1.2953776032975813e-05,-1.2210638074095322e-05,-1.0038660305096983e-05,1.8950209013929738e-07,4.041456629298321e-07,6.779390889999265e-07,1.0278723374557923e-06,1.4709353774036403e-06,2.0241181779496815e-06,2.704410708200129e-06,3.4905638325991667e-06,4.2083719969428754e-06,4.645390542365311e-06,4.589174810000525e-06,3.827280140982575e-06,2.1472618764455156e-06
